search_term,status,status_no_spaces,n_youtube_videos,n_youtube_channels,n_youtube_videos_no_spaces,n_youtube_channels_no_spaces
buy drugs on the dark web,Blocked,Empty,,,0.0,0.0
cannibus coffee shops,Blocked,Empty,,,0.0,0.0
dramatized rape scenes,Blocked,Empty,,,0.0,0.0
threads with firearms,Blocked,Empty,,,0.0,0.0
3d print guns,Blocked,Partial Block,,,1.0,0.0
dog fighting,Blocked,Partial Block,,,1.0,81.0
make firearm,Blocked,Partial Block,,,1.0,0.0
make high capacity ammunition,Blocked,Partial Block,,,1.0,0.0
covid-19 asian food,Blocked,Blocked,,,,
covid-19 doesn't exist,Blocked,Blocked,,,,
covid-19 from 5g,Blocked,Blocked,,,,
covid-19 guaranteed vaccine,Blocked,Blocked,,,,
covid-19 home remedy,Blocked,Blocked,,,,
covid-19 people don't die,Blocked,Blocked,,,,
covid-19 prayer,Blocked,Blocked,,,,
covid-19 ritual,Blocked,Blocked,,,,
covid-19 vaccine kills people,Blocked,Blocked,,,,
crystal meth,Blocked,Blocked,,,,
erotic massage services,Blocked,Blocked,,,,
escort services,Blocked,Blocked,,,,
molotov cocktail,Blocked,Blocked,,,,
online gambling,Blocked,Blocked,,,,
rolling papers,Blocked,Blocked,,,,
sex industry,Blocked,Blocked,,,,
sex services,Blocked,Blocked,,,,
sex toys,Blocked,Blocked,,,,
sexual abuse,Blocked,Blocked,,,,
sexual acts,Blocked,Blocked,,,,
sexual device,Blocked,Blocked,,,,
sexual fetishes,Blocked,Blocked,,,,
sexual fluids,Blocked,Blocked,,,,
sexual gratification,Blocked,Blocked,,,,
sexual harassment,Blocked,Blocked,,,,
sexually explict content,Blocked,Blocked,,,,
sexually unwanted acts,Blocked,Blocked,,,,
vape pens,Blocked,Blocked,,,,
"you'll make $50,000 tomorrow with this plan!",Blocked,Blocked,,,,
abortion,Blocked,,,,,
alcohol,Blocked,,,,,
ammunition,Blocked,,,,,
beastiality,Blocked,,,,,
beheading,Blocked,,,,,
bongs,Blocked,,,,,
cigarettes,Blocked,,,,,
cigars,Blocked,,,,,
cocaine,Blocked,,,,,
coronavirus,Blocked,,,,,
covid,Blocked,,,,,
covid-19,Blocked,,,,,
e-cigarettes,Blocked,,,,,
ecstasy,Blocked,,,,,
firearm,Blocked,,,,,
firearms,Blocked,,,,,
fuck,Blocked,,,,,
genitalia,Blocked,,,,,
gun-grips,Blocked,,,,,
handguns,Blocked,,,,,
heroin,Blocked,,,,,
incest,Blocked,,,,,
intercourse,Blocked,,,,,
marijuana,Blocked,,,,,
masturbation,Blocked,,,,,
mephedrone,Blocked,,,,,
nipples,Blocked,,,,,
nudity,Blocked,,,,,
pedophilia,Blocked,,,,,
pornography,Blocked,,,,,
prostitution,Blocked,,,,,
rape,Blocked,,,,,
rifles,Blocked,,,,,
sex,Blocked,,,,,
steroids,Blocked,,,,,
suicide,Blocked,,,,,
terrorism,Blocked,,,,,
upskirt,Blocked,,,,,
vapes,Blocked,,,,,
vaping,Blocked,,,,,
voyeurism,Blocked,,,,,
