search_term,status,status_no_spaces,n_youtube_videos,n_youtube_channels,n_youtube_videos_no_spaces,n_youtube_channels_no_spaces
miracle treatment,Full,,3091338.0,267.0,,
"you'll make $50,000 tomorrow with this plan!",Full,,1569494.0,6.0,,
forging official documents,Full,,98537.0,6.0,,
voter supression,Empty,,0.0,0.0,,
voter eligability,Empty,,0.0,0.0,,
violent criminal organizations,Full,,190449.0,0.0,,
swatting,Empty,,0.0,0.0,,
shootings,Empty,,0.0,0.0,,
self-harm,Empty,,0.0,0.0,,
robbery,Empty,,0.0,0.0,,
racial discrimination,Empty,,0.0,0.0,,
praise terrorists,Empty,,0.0,0.0,,
pipe bomb,Empty,,0.0,0.0,,
mass shootings,Empty,,0.0,0.0,,
kidnapping,Empty,,0.0,0.0,,
human torture,Empty,,0.0,0.0,,
homemade silencer,Empty,,0.0,0.0,,
harassment,Empty,,0.0,0.0,,
get rich fast,Empty,,0.0,0.0,,
extremism,Empty,,0.0,0.0,,
ethnic cleansing,Empty,,0.0,0.0,,
eating disorders,Empty,,0.0,0.0,,
crime scene photos,Empty,,0.0,0.0,,
conterfeit passports,Empty,,0.0,0.0,,
cockfighting,Empty,,0.0,0.0,,
child marriage,Empty,,0.0,0.0,,
child abuse,Empty,,0.0,0.0,,
cannibalism,Partial Block,,1.0,0.0,,
bump stocks,Empty,,0.0,0.0,,
bombings,Empty,,0.0,0.0,,
bomb making,Empty,,0.0,0.0,,
anti-vaccination,Empty,,0.0,0.0,,
vape pens,Blocked,Blocked,,,,
sexually unwanted acts,Blocked,Blocked,,,,
sexual fluids,Blocked,Blocked,,,,
sexual fetishes,Blocked,Blocked,,,,
sexual device,Blocked,Blocked,,,,
sex services,Blocked,Blocked,,,,
online gambling,Blocked,Blocked,,,,
covid-19 prayer,Blocked,Blocked,,,,
covid-19 people don't die,Blocked,Blocked,,,,
covid-19 from 5g,Blocked,Blocked,,,,
threads with firearms,Blocked,Empty,,,0.0,0.0
text your vote,Blocked,Empty,,,0.0,0.0
terrorist ideology,Blocked,Empty,,,0.0,0.0
terrorist hostages,Blocked,Empty,,,0.0,0.0
terrorist acts,Blocked,Empty,,,0.0,0.0
selling firearms,Blocked,Empty,,,0.0,0.0
minors vaping,Blocked,Empty,,,0.0,0.0
making hard drugs,Blocked,Empty,,,0.0,0.0
make high capacity ammunition,Blocked,Empty,,,0.0,0.0
make ammunition,Blocked,Empty,,,0.0,0.0
firearm stocks,Blocked,Empty,,,0.0,0.0
firearm silencer,Blocked,Empty,,,0.0,0.0
explosive vest,Blocked,Empty,,,0.0,0.0
chewing tobacco,Blocked,Empty,,,0.0,0.0
cannibus coffee shops,Blocked,Empty,,,0.0,0.0
buy organs,Blocked,Empty,,,0.0,0.0
bullfighting swords in bull,Blocked,Empty,,,0.0,0.0
black salve,Blocked,Empty,,,0.0,0.0
automatic gun conversion kits,Blocked,Empty,,,0.0,0.0
3d print guns,Blocked,Partial Block,,,1.0,0.0
vaping,Blocked,,,,,
vapes,Blocked,,,,,
upskirt,Blocked,,,,,
terrorist recruitment,Blocked,,,,,
terrorist attack,Blocked,,,,,
terrorism,Blocked,,,,,
suicide,Blocked,,,,,
steroids,Blocked,,,,,
sexually explict content,Blocked,,,,,
sexual harassment,Blocked,,,,,
sexual gratification,Blocked,,,,,
sexual acts,Blocked,,,,,
sex toys,Blocked,,,,,
sex,Blocked,,,,,
rifles,Blocked,,,,,
rape,Blocked,,,,,
prostitution,Blocked,,,,,
pornography,Blocked,,,,,
pedophilia,Blocked,,,,,
package bombs,Blocked,,,,,
online pharmacy no prescription,Blocked,,,,,
nudity,Blocked,,,,,
nude photo leaks,Blocked,,,,,
nipples,Blocked,,,,,
miracle mineral solution,Blocked,,,,,
minors drinking alcohol,Blocked,,,,,
mephedrone,Blocked,,,,,
masturbation,Blocked,,,,,
marijuana,Blocked,,,,,
make firearm,Blocked,,,,,
incorrect election date,Blocked,,,,,
incest,Blocked,,,,,
hunt with bombing,Blocked,,,,,
heroin,Blocked,,,,,
handguns,Blocked,,,,,
genitalia,Blocked,,,,,
fuck,Blocked,,,,,
firearm scopes,Blocked,,,,,
execution videos,Blocked,,,,,
erotic massage services,Blocked,,,,,
ecstasy,Blocked,,,,,
e-cigarettes,Blocked,,,,,
crystal meth,Blocked,,,,,
covid-19 vaccine kills people,Blocked,,,,,
covid-19 ritual,Blocked,,,,,
covid-19 home remedy,Blocked,,,,,
covid-19 doesn't exist,Blocked,,,,,
covid-19 asian food,Blocked,,,,,
covid-19,Blocked,,,,,
covid,Blocked,,,,,
cocaine,Blocked,,,,,
cigars,Blocked,,,,,
cigarettes,Blocked,,,,,
buy weed,Blocked,,,,,
buy alcohol,Blocked,,,,,
bongs,Blocked,,,,,
beheading,Blocked,,,,,
beastiality,Blocked,,,,,
animal mating,Blocked,,,,,
ammunition clips,Blocked,,,,,
ammunition,Blocked,,,,,
alcohol,Blocked,,,,,
aids denial,Blocked,,,,,
